x,y,Class

0.107,4,B
0,3,B
0,4,B
0,2,A
-0.201,3,B
0,3,A
0,1,B
0.132,8,A
0.03,2,A
0,6,A
-0.214,4,A
0.057,8,A
0,8,A
0,4,B
0,6,B
0,5,A
0,5,A
0,3,B
-0.143,4,A
-0.097,1,B
0,6,A
0,19,A
0.163,8,B
-0.111,5,A
1.558,2,A
0,20,A
0.257,21,A
-0.221,29,A
0,5,A
0,27,B
0,17,A
0.196,7,B
-0.57,12,A
0,10,A
0.712,7,A
-0.929,11,A
-0.056,6,B
0,8,A
0,21,A
0,4,A
0,3,A
0,3,A
0,3,A
0,3,A
0.181,4,B
0.057,9,A
-0.108,4,A
0,2,B
0,3,B
0,3,A
0,1,A
0,3,A
0,7,B
0,4,B
0,4,A
0,7,B
0,3,A
0,3,A
0,2,A
0,6,A
-0.078,4,A
0,3,A
0,3,A
0,3,A
0,3,B
